gene_from	gene_to	combined_score
KRT75	KRT6C	580
KRT75	KRT6B	628
KRT6C	KRT6B	655
KRT6B	DSG3	734
IBSP	MMP13	575
IL36G	MMP13	454
KISS1R	GAL	542
NMU	GAL	575
PITX1	ZIC5	443
GPR87	ADGRF4	536
ABCA12	PGLYRP3	454
IL36G	MMP3	473
FGF11	MMP3	420
KRT6C	KRT16	513
KRT6B	KRT16	747
DSG3	KRT16	480
LY6D	KRT16	574
CST4	CST1	765
KRT6C	SPRR1B	674
KRT6B	SPRR1B	731
GRHL3	SPRR1B	444
PGLYRP3	SPRR1B	492
KRT16	SPRR1B	719
HOXC13	HOXC10	577
NEIL3	CDC25C	550
MMP11	MMP1	913
MMP13	MMP1	682
MMP3	MMP1	953
KRT6B	SPRR3	468
KRT16	SPRR3	487
SPRR1B	SPRR3	968
TMPRSS11E	TMPRSS11A	412
NEIL3	CENPA	561
CDC25C	CENPA	793
IL36G	SERPINB4	463
KRT16	SERPINB4	453
PGLYRP3	PGLYRP4	874
OTX1	DMBX1	442
MMP11	COL11A1	464
MMP13	COL11A1	471
NEIL3	COL11A1	451
MMP3	COL11A1	426
OTX1	LHX2	613
HOXC13	FOXE1	438
NETO1	FOXE1	402
LHX5	ZIC2	492
ZIC5	ZIC2	649
GRHL3	ZIC2	411
LHX2	ZIC2	469
KRT16	KLK6	403
SPRR1B	KLK6	555
LHX5	POU4F1	512
ONECUT1	POU4F1	448
TUBB3	POU4F1	547
LHX2	POU4F1	420
CYP24A1	CA9	781
GRHL3	TFAP2A	411
PITX2	TFAP2A	944
POU4F1	TFAP2A	478
KRT75	KRT6A	598
KRT6C	KRT6A	667
KRT6B	KRT6A	859
DSG3	KRT6A	601
GPR87	KRT6A	413
KRT16	KRT6A	691
SPRR1B	KRT6A	752
SPRR3	KRT6A	634
KRT6A	SERPINB5	436
IL36G	IL36RN	942
MMP13	IL36RN	513
ABCA12	IL36RN	568
MMP3	IL36RN	469
MMP1	IL36RN	426
IL1RAPL2	IL36RN	508
ATP10B	DQX1	408
AKR1B10	AKR1B15	434
LHX2	SP8	434
KISS1R	FEZF1	467
LHX5	FEZF1	420
OTX1	FEZF1	407
LHX2	FEZF1	430
MIOX	SLC25A48	540
NPSR1	SLC25A48	448
SP8	DLX6	445
GRHL3	SBSN	442
KRT16	SBSN	460
SPRR1B	SBSN	454
KRT6A	SBSN	451
IGF2BP1	HMGA2	632
MAGEA4	PRAME	696
HOXC13	HOXC11	656
HOXC10	HOXC11	638
MMP3	MMP12	517
GABRA3	GABRQ	723
CA9	MAGEA3	408
PRAME	MAGEA3	806
NEIL3	H2BC9	617
CENPA	H2BC9	731
DMBX1	FADS6	556
USH1G	FADS6	807
