Variable	HR	CI_lower	CI_upper	P_value	Analysis
MMP13 (HIGH vs LOW)	0.836	0.693	1.007	0.0588	Univariate
Age	1.011	1.001	1.022	0.0385	Univariate
Sex (Male vs Female)	1.246	1.027	1.513	0.026	Univariate
Stage	1.773	1.463	2.149	0	Univariate
Dataset (LUAD vs LUSC)	0.867	0.718	1.046	0.1351	Univariate
MMP13_optimalhigh	0.826	0.685	0.996	0.0451	Multivariate
age	1.014	1.004	1.025	0.0091	Multivariate
sex	1.137	0.929	1.391	0.2128	Multivariate
stageII	1.784	1.469	2.166	0	Multivariate
stageIII	NA	NA	NA	NA	Multivariate
stageIV	3.203	2.047	5.012	0	Multivariate
datasetLUAD	0.933	0.764	1.139	0.4956	Multivariate
